Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
377.990021	32.936596	124.642197	33.148182	124.841705	24.630478	157.312592	24.914663	158.771347	21.233767	235.335922	21.506302	235.083710	
379.581451	31.817347	132.079132	31.905464	131.503586	24.062464	171.675568	24.007519	172.652985	23.982279	249.409698	23.974730	249.217133	
381.173004	30.599699	139.038498	30.748362	138.906494	23.494858	185.693573	23.619286	186.870148	26.301626	260.817841	26.452288	260.167145	
382.764465	29.530401	147.013168	29.701105	146.961395	23.559874	199.832748	23.768400	200.747177	28.588675	268.064941	28.778521	268.709595	
384.355957	28.538626	155.925552	28.794535	155.566788	24.439041	212.508331	24.394012	213.676727	30.871849	-85.071815	30.911636	-84.603516	
385.947418	28.000053	164.870926	28.061438	164.595840	25.567556	224.593491	25.386150	225.267548	32.784637	-80.160446	32.872849	-79.411041	
387.539001	27.752436	174.159256	27.530941	173.893036	26.608965	233.940826	26.626455	235.368011	34.617043	-76.107643	34.717014	-75.484917	
389.130463	27.154774	183.642563	27.223377	183.275330	28.285263	242.689423	28.016758	243.991531	36.527496	-72.987984	36.519619	-72.690475	
390.721863	27.118111	192.992676	27.146746	192.548172	29.586529	249.954376	29.491541	251.233139	38.492451	-71.675369	38.376137	-70.960281	
392.313446	27.456993	201.959595	27.296137	201.524216	31.149057	256.347961	31.018480	257.207214	40.412243	-70.603683	40.408661	-70.279900	
393.904877	27.879511	209.871826	27.656004	210.037491	32.688774	260.235046	32.593922	262.012054	42.727734	-71.639091	42.778656	-70.677979	
395.496307	28.525164	218.192474	28.204458	217.958435	34.128803	264.293671	34.239697	265.718140	45.536640	-72.614609	45.708298	-72.217812	
397.087830	29.147011	225.299438	28.918419	225.194565	35.924110	266.769806	36.001419	268.360901	49.323280	-75.317039	49.507652	-74.995239	
398.679230	29.858961	231.114502	29.778215	231.684387	38.047474	268.472687	37.949696	269.938141	54.336281	-79.665016	54.600456	-79.159332	
400.270752	31.181023	237.200760	30.771437	237.390045	40.070461	268.931519	40.185303	-89.592842	60.942478	-85.369034	61.518951	-85.052292	
401.862183	32.002403	241.921326	31.895517	242.284622	42.448536	268.006409	42.845936	269.675537	70.272346	266.181244	70.735733	266.007965	
403.453552	33.419777	245.411835	33.160114	246.344330	45.619133	266.229248	46.115074	267.578796	81.780174	244.464935	81.866875	243.676758	
